Year_Month,Price
2000-01,128.9
2000-02,137.7
2000-03,151.6
2000-04,146.5
2000-05,148.7
2000-06,163.3
2000-07,155.1
2000-08,146.5
2000-09,155
2000-10,153.2
2000-11,151.7
2000-12,144.3
2001-01,144.7
2001-02,145
2001-03,140.9
2001-04,155.2
2001-05,170.2
2001-06,161.6
2001-07,142.1
2001-08,142.1
2001-09,152.2
2001-10,131.5
2001-11,117.1
2001-12,108.6
2002-01,110.7
2002-02,111.4
2002-03,124.9
2002-04,139.7
2002-05,139.2
2002-06,138.2
2002-07,139.7
2002-08,139.6
2002-09,140
2002-10,144.5
2002-11,141.9
2002-12,138.6
2003-01,145.8
2003-02,161.3
2003-03,169.3
2003-04,158.9
2003-05,149.7
2003-06,149.3
2003-07,151.3
2003-08,162
2003-09,167.9
2003-10,156.4
2003-11,151.2
2003-12,147.9
2004-01,157.2
2004-02,164.8
2004-03,173.6
2004-04,179.8
2004-05,198.3
2004-06,196.9
2004-07,191.1
2004-08,187.8
2004-09,187
2004-10,200
2004-11,197.9
2004-12,184.1
2005-01,183.1
2005-02,191
2005-03,207.9
2005-04,224.3
2005-05,216.1
2005-06,215.6
2005-07,229
2005-08,248.6
2005-09,290.3
2005-10,271.7
2005-11,225.7
2005-12,218.5
2006-01,231.6
2006-02,228
2006-03,242.5
2006-04,274.2
2006-05,290.7
2006-06,288.5
2006-07,298.1
2006-08,295.2
2006-09,255.5
2006-10,224.5
2006-11,222.9
2006-12,231.3
2007-01,224
2007-02,227.8
2007-03,256.3
2007-04,284.5
2007-05,314.6
2007-06,305.6
2007-07,296.5
2007-08,278.6
2007-09,280.3
2007-10,280.3
2007-11,308
2007-12,301.8
2008-01,304.3
2008-02,302.8
2008-03,324.4
2008-04,345.8
2008-05,376.6
2008-06,405.4
2008-07,406.2
2008-08,377.9
2008-09,370.3
2008-10,305.1
2008-11,214.7
2008-12,168.7
2009-01,178.8
2009-02,192.3
2009-03,195.9
2009-04,204.9
2009-05,226.6
2009-06,263.1
2009-07,252.7
2009-08,261.6
2009-09,255.4
2009-10,255.1
2009-11,265.1
2009-12,260.7
2010-01,271.5
2010-02,264.4
2010-03,277.2
2010-04,284.8
2010-05,283.6
2010-06,273.2
2010-07,272.9
2010-08,273
2010-09,270.5
2010-10,280.1
2010-11,285.9
2010-12,299.3
2011-01,309.5
2011-02,321.1
2011-03,356.1
2011-04,380
2011-05,390.6
2011-06,368
2011-07,365
2011-08,363.9
2011-09,361.1
2011-10,344.8
2011-11,338.4
2011-12,326.6
2012-01,338
2012-02,357.9
2012-03,385.2
2012-04,390
2012-05,373.2
2012-06,353.9
2012-07,343.9
2012-08,372.2
2012-09,384.9
2012-10,374.6
2012-11,345.2
2012-12,331
2013-01,331.9
2013-02,367
2013-03,371.1
2013-04,357
2013-05,361.5
2013-06,362.6
2013-07,359.1
2013-08,357.4
2013-09,353.2
2013-10,334.4
2013-11,324.3
2013-12,327.6
2014-01,331.3
2014-02,335.6
2014-03,353.3
2014-04,366.1
2014-05,367.3
2014-06,369.2
2014-07,361.1
2014-08,348.7
2014-09,340.6
2014-10,317.1
2014-11,291.2
2014-12,254.3
2015-01,211.6
2015-02,221.6
2015-03,246.4
2015-04,246.9
2015-05,271.8
2015-06,280.2
2015-07,279.4
2015-08,263.6
2015-09,236.5
2015-10,229
2015-11,215.8
2015-12,203.8